gene group
SEL1L3 MES
SEMA3C MES
SEMA3F MES
SEPT10 MES
SERPINE2 MES
SERPINH1 MES
SFT2D1 MES
SFT2D2 MES
SGK1 MES
SH3BGRL MES
SHC1 MES
SHROOM3 MES
SIX1 MES
SIX4 MES
SKIL MES
SLC16A4 MES
SLC30A1 MES
SLC30A7 MES
SLC35F5 MES
SLC38A2 MES
SLC38A6 MES
SLC39A14 MES
SMAD3 MES
SNAI2 MES
SNAP23 MES
SOSTDC1 MES
SOX9 MES
SPARC MES
SPARCL1 MES
SPATA20 MES
SPCS3 MES
SPRED1 MES
SPRY1 MES
SPRY4 MES
SPRY4-IT1 MES
SQSTM1 MES
SRPX MES
SSBP4 MES
SSR1 MES
SSR3 MES
STAT1 MES
STAT3 MES
STEAP1 MES
STK38L MES
SUCLG2 MES
SURF4 MES
SVIL MES
SYDE1 MES
SYNJ2 MES
SYPL1 MES
TCF7L2 MES
TFE3 MES
TFPI MES
TGFB1I1 MES
TGFBR2 MES
THBS1 MES
TIMP1 MES
TJP1 MES
TM4SF1 MES
TM9SF2 MES
TMBIM4 MES
TMED9 MES
TMEFF2 MES
TMEM263 MES
TMEM50A MES
TMEM87B MES
TNC MES
TNFRSF12A MES
TNFRSF1A MES
TNS1 MES
TOR1AIP1 MES
TPBG MES
TPM1 MES
TPM2 MES
TRAM1 MES
TRAM2 MES
TRIL MES
TRIM5 MES
TSC22D2 MES
TSC22D3 MES
TSPAN4 MES
TUBB6 MES
TWSG1 MES
TXNDC12 MES
UAP1 MES
UGDH MES
VCL MES
VIM MES
WIPI1 MES
WLS MES
WNT5A MES
WWTR1 MES
YAP1 MES
ZCCHC24 MES
ZFP36L1 MES
ZNF217 MES
ABCA3 ADRN
ABCB1 ADRN
ABLIM1 ADRN
ACOT7 ADRN
ACTL6B ADRN
ACVR1B ADRN
ADAM22 ADRN
ADCYAP1R1 ADRN
ADRBK2 ADRN
AGTPBP1 ADRN
AHSA1 ADRN
AKAP1 ADRN
AKAP12 ADRN
ALK ADRN
ANK2 ADRN
ANKRD46 ADRN
ANP32A ADRN
AP1S2 ADRN
ARHGEF7 ADRN
ARL6IP1 ADRN
ASCL1 ADRN
ASRGL1 ADRN
ATCAY ADRN
ATL1 ADRN
ATP6V0E2 ADRN
ATP6V1B2 ADRN
AUTS2 ADRN
BEND4 ADRN
