p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.539164877247448e-152,2.997594201144852,0.224,0.043,6.44140501128057e-148,1,TENT5C
1.3293197926011514e-126,2.996696441915774,0.185,0.035,5.563203332035818e-122,1,S1PR4
5.098595069087031e-97,2.9961510890346528,0.139,0.026,2.1337620364129226e-92,1,PSTPIP1
0,2.9937145003257895,0.663,0.13,0,1,HCST
6.488649214208485e-173,2.98368635774868,0.244,0.045,2.7154996961462506e-168,1,DOK2
1.7051891602160512e-171,2.9815184960267973,0.354,0.097,7.136216635504175e-167,1,SPOCK2
3.2808239629751107e-40,2.968626671345814,0.168,0.065,1.3730248285050838e-35,1,CCL4L2
9.058513727456934e-296,2.9650389371376913,0.498,0.117,3.790987994940727e-291,1,ANXA1
1.37229408259586e-57,2.964638881364956,0.199,0.071,5.743050735663674e-53,1,DUSP4
3.4018450672484997e-165,2.951727521440313,0.237,0.045,1.423672160643497e-160,1,SYTL3
1.640398334627938e-204,2.94937825141246,0.303,0.06,6.86506703041792e-200,1,BIN2
3.657656373684653e-179,2.9466838822614507,0.272,0.054,1.5307291923870272e-174,1,SLA
1.675190370145116e-104,2.9440935835862803,0.123,0.019,7.01067169905731e-100,1,LINC01871
6.250280425967929e-104,2.9373403223246553,0.158,0.031,2.615742358267578e-99,1,DENND2D
0,2.9227432047838304,0.508,0.096,0,1,RHOH
4.948933454732372e-97,2.9226291039095615,0.172,0.038,2.0711286508054977e-92,1,MYO1G
5.157137647037433e-73,2.899752409232396,0.163,0.043,2.1582621052851655e-68,1,AC016831.5
5.094870721971771e-121,2.8996112643257117,0.324,0.102,2.1322033971451864e-116,1,CCL4
5.9558607978291376e-198,2.8982408224010703,0.293,0.058,2.4925277438914943e-193,1,TRAF3IP3
1.586400859703882e-214,2.8974767220156568,0.309,0.06,6.639087597860747e-210,1,RUNX3
1.0314027221930304e-101,2.8908035195799,0.21,0.053,4.3164203923778323e-97,1,RCAN3
2.0825293326076713e-141,2.88525761326511,0.204,0.038,8.715385256963105e-137,1,STAT4
0,2.876976563114081,0.598,0.092,0,1,CD7
0,2.8468074194835244,0.486,0.099,0,1,CD48
2.679894183188461e-222,2.8422906665202934,0.362,0.079,1.121535715664371e-217,1,ETS1
1.624498582749478e-117,2.8265242810684064,0.193,0.04,6.798526568806565e-113,1,SLFN5
0,2.81915587712748,0.865,0.184,0,1,CD52
1.9849336423251062e-287,2.8191029161073056,0.525,0.14,8.306947293130569e-283,1,STK17B
3.838161146737995e-199,2.8120398943103373,0.276,0.051,1.6062704399098508e-194,1,IFITM1
6.276100796137965e-173,2.8104185254736715,0.339,0.085,2.6265481831837386e-168,1,KLF2
1.4539025487991254e-121,2.7889951362431202,0.261,0.069,6.08458216672434e-117,1,EMB
2.743072712707377e-116,2.786532460794521,0.247,0.065,1.1479759302680373e-111,1,OXNAD1
4.2941195404988667e-100,2.784937677404673,0.203,0.05,1.7970890276987756e-95,1,IL27RA
4.577504968710029e-75,2.782758445970495,0.154,0.038,1.9156858294051472e-70,1,DEF6
2.0349744274898473e-222,2.7810281363161105,0.358,0.078,8.516367979045011e-218,1,IL2RG
8.328194594678047e-84,2.769278730787263,0.138,0.028,3.4853494378727627e-79,1,TMC8
1.2681811443944234e-186,2.764282961555685,0.591,0.286,5.3073380892906615e-182,1,LEPROTL1
5.027201367416864e-255,2.7521615334264227,0.442,0.105,2.1038837722639578e-250,1,CLEC2B
0,2.7426991855489424,0.556,0.132,0,1,GYPC
1.4520813052650044e-195,2.7339312931833497,0.32,0.069,6.076960262534044e-191,1,CEMIP2
0,2.7307967327192517,0.827,0.203,0,1,ARHGDIB
2.2862657133152847e-141,2.7281960358717674,0.258,0.06,9.568022010224466e-137,1,AKNA
1.712160722950764e-133,2.726602806198905,0.288,0.077,7.165392625548947e-129,1,TNFRSF1B
7.3496391943747935e-137,2.723715888817962,0.263,0.062,3.075824002845851e-132,1,KLRB1
1.671708993504839e-182,2.71916038979478,0.309,0.068,6.996102137817751e-178,1,IKZF1
3.077843690614572e-75,2.7188942044132776,0.136,0.03,1.2880775845221985e-70,1,RASGRP1
1.3259852808053051e-148,2.709636708621828,0.175,0.027,5.549248400170202e-144,1,SAMD3
1.4308190057246193e-208,2.7036364104366037,0.581,0.237,5.987977538957532e-204,1,STK4
1.5604979002892748e-75,2.702127372241821,0.143,0.033,6.530683712710615e-71,1,IKZF3
3.990746206751402e-99,2.7017844564272835,0.183,0.042,1.6701272875254618e-94,1,MFNG
0,2.7005382738180077,0.765,0.324,0,1,TSC22D3
4.692658642341581e-296,2.6987491377422645,0.786,0.384,1.963877641819952e-291,1,ZFP36L2
1.0429351208882925e-77,2.69754744370138,0.167,0.042,4.364683480917504e-73,1,SYTL1
0,2.694619828729751,0.534,0.13,0,1,DUSP2
1.0788939876491905e-150,2.682698922359667,0.237,0.048,4.515171338311863e-146,1,LEF1
3.909859196362501e-254,2.6814893327238467,0.316,0.053,1.6362760736777067e-249,1,CD247
0,2.6801415949092333,0.63,0.146,0,1,RGS1
2.7659029798810203e-114,2.67888342978262,0.247,0.065,1.157530397080207e-109,1,BTN3A2
8.851206760802933e-65,2.6776966992864555,0.141,0.036,3.7042300293960274e-60,1,DGKA
0,2.676796343456422,0.67,0.186,0,1,S100A4
3.7720948343102145e-91,2.676420358308076,0.183,0.044,1.5786216881588247e-86,1,ARHGAP30
5.274733989203049e-136,2.6722446708603975,0.262,0.063,2.207476174481476e-131,1,ITGA4
0,2.670533391545654,0.625,0.104,0,1,CD69
4.3144501613621686e-154,2.6693282969387595,0.188,0.03,1.8055973925300675e-149,1,FCMR
1.1731238909212148e-61,2.667798069523214,0.14,0.037,4.909523483505284e-57,1,CASP8
1.1813456085806155e-202,2.6516378679158623,0.41,0.109,4.943931371909876e-198,1,STK17A
8.758770116088902e-78,2.6453021000985766,0.183,0.05,3.6655452935832054e-73,1,TNFRSF25
9.607038081696173e-82,2.6448069319198066,0.146,0.032,4.020545437189848e-77,1,AQP3
6.345878279514146e-80,2.640864534663711,0.127,0.025,2.65575005997667e-75,1,GRAP2
1.2942023084573492e-131,2.626452109692428,0.243,0.056,5.416236660894007e-127,1,TAGAP
1.1759183983457681e-50,2.626388856325393,0.168,0.058,4.92121849707704e-46,1,SH2D2A
1.0766028284953985e-163,2.61744377481687,0.308,0.074,4.5055828372532425e-159,1,CNN2
1.3760826404532062e-131,2.610440918254324,0.22,0.047,5.758905850296668e-127,1,SIT1
1.0371353507762952e-210,2.6088674578830133,0.364,0.083,4.3404114429987954e-206,1,ICAM3
8.9926302649418e-92,2.603970074665799,0.189,0.047,3.763415765878143e-87,1,GBP2
2.0316565526905724e-85,2.600159462931252,0.32,0.132,8.502482673010046e-81,1,BCL11B
3.081110615626015e-157,2.5781895171051783,0.307,0.076,1.2894447926394872e-152,1,ADGRE5
1.1147858357297784e-107,2.5767738684099277,0.174,0.035,4.665378722529123e-103,1,ARAP2
0,2.570981693667457,0.542,0.121,0,1,ISG20
0,2.5699226573058596,0.865,0.252,0,1,HLA-E
0,2.5681191716471665,0.838,0.269,0,1,CXCR4
0,2.558266850773827,0.625,0.183,0,1,FXYD5
3.8799708513891765e-152,2.558025549734447,0.301,0.075,1.6237678013063705e-147,1,HCLS1
0,2.5529115220431966,0.559,0.142,0,1,GPSM3
3.334408587867686e-117,2.531025709344224,0.254,0.066,1.3954499940226268e-112,1,SOCS1
3.4749301368354735e-129,2.5220180001737784,0.264,0.066,1.4542582622656457e-124,1,SELL
4.647487651521137e-88,2.5200026135455404,0.214,0.06,1.944973582161596e-83,1,CARD16
0,2.507941375876342,0.588,0.156,0,1,GMFG
9.369451446996623e-72,2.5075492075909906,0.186,0.054,3.9211154305680864e-67,1,IL10RA
4.0564858660314823e-143,2.49625511397712,0.313,0.085,1.6976393349341753e-138,1,HLA-F
7.776929812648168e-78,2.4817344107014145,0.18,0.048,3.2546451265932585e-73,1,TMC6
1.652295074995985e-269,2.4799985254665198,0.535,0.148,6.914854888858197e-265,1,ELF1
1.722051481967123e-68,2.4747550137334535,0.286,0.12,7.20678545203241e-64,1,RESF1
3.533583585376843e-80,2.4746088654879497,0.144,0.031,1.478804730480209e-75,1,SP140
5.948645817193994e-45,2.464530521999597,0.172,0.064,2.4895082744956867e-40,1,ORAI1
1.6941798583842978e-72,2.457015939232723,0.268,0.104,7.090142707338286e-68,1,MCUB
