T.cells	NK.cells	B.cells	Plasma.cells	pDCs	Myeloid.cells	Endothelial.cells	Fibroblasts	Schwann	Adrenocortical.cells	NE.1	NE.2	NE.3	NE.4	NE.5	NE.6	NE.7	NE.8	NE.9	NE.10	NE.11	NE.12	NE.13	NE.14	NE.15
SJNBL030158_D1	2.32335623600718e-19	-1.63861605427335e-19	6.86915015277303e-20	-3.61953468114356e-21	-8.0813490193002e-19	6.85891011346269e-20	0.0311801764725922	-3.53856895716464e-19	0.0177280615411542	0.00345679478392502	1.12334375401162e-17	0.45193933848021	-3.81299218128459e-17	0.000178731283611289	0.000917175691454464	0.045125143397843	0.0270173198023646	2.3768578299389e-18	0.17434846339853	0.0897063954556871	0.158402399692628	1.6683664669334e-18	-3.42792670420104e-17	2.56344838456112e-19	1.96165758301868e-19
SJNBL030177_D1	1.00677768260008e-18	8.04503364911984e-21	-2.01496726882677e-19	-4.34986763478343e-22	1.82421012017506e-19	-6.25983190676782e-20	0.0463065595878583	0.0163332479389085	0.0428220144886536	0.0265573723919253	-5.77601211040489e-18	0.523147100429548	2.07372557280961e-18	6.97030270398812e-19	0.12805342865456	-9.28113369417788e-19	0.0480805851267247	2.45814181847507e-18	0.164150673539048	0.00454901784277275	6.86822077023496e-19	-3.26871260248224e-19	8.76540798177248e-19	1.56183152351759e-19	-2.66275118369328e-18
SJNBL030203_D1	-1.14261644564144e-19	1.98646501051173e-19	-1.24726735169364e-19	-1.72063207899157e-21	0.00216199657630481	0.0048606786924196	0.130921041159393	0.276606023937978	0.151766832763164	0.0201780097488394	-9.98898587663899e-18	0.372155919166353	1.18377102322623e-17	0.000166085013266129	0.000791139395042695	3.44226969688904e-18	2.69098562397176e-18	8.11178693895386e-18	0.000541875559203801	0.0398503979880351	-9.55633684192491e-18	3.98409720629077e-18	4.1764533336802e-18	1.94235779238644e-18	-6.86308659907311e-19
SJNBL030224_D1	-9.09119559329143e-20	-3.67969259683499e-20	8.64651252758673e-20	0	6.02323723392427e-20	0.0106046104012094	0.0654657862982013	0.0230875755954014	0.0278056512603938	0.00254400665296703	6.7527082453436e-18	0.498555440627026	1.68538303347571e-17	0.0751660369789586	0.000567402740968624	2.22260608533731e-05	0.0725037637698442	-1.24337732642787e-17	0.0617737897688161	0.152832190677658	0.00907151916770275	5.19486140878156e-18	1.88652433531823e-18	-8.29475012106721e-19	-7.20007259337499e-18
SJNBL030259_D1	0.0113897394010054	7.51529152878139e-05	0.0057298715416212	2.25541050063588e-24	0.00420735631197727	0.00997909403905531	0.0644987995874646	0.0186288517640197	0.0504678889171001	0.0277758248453771	1.34723383907345e-17	0.377042201014209	8.71374889186988e-19	0.000277138438079792	0.000873171643528999	0.000492261872433239	0.00765318507784618	1.63365103135854e-19	0.0590453867321651	0.186235819136852	0.175628256761977	-2.005489473851e-18	-2.9668029296048e-18	-6.56156411107511e-19	3.73566182404574e-19
SJNBL030307_D1	0.000432219971956429	0.000669396680064792	0.00350762036480485	0	1.61934937791397e-19	4.14567819713238e-07	0.0579289951901444	0.00363318640637345	0.0103460225707165	0.00957090320760031	2.69026476768271e-18	0.524829402212789	1.06928843752201e-17	0.0221211476924874	0.000866468074536841	0.10657031059672	0.00565002137099733	3.08245611801945e-18	0.0208200437987866	0.170937414777347	0.0621164325168558	2.11512035051174e-18	9.66872049647267e-19	4.52471254363794e-18	-1.35095665289816e-19
SJNBL030309_D1	-2.63503498174131e-19	2.22492438896188e-20	0.000326007936363448	3.67199997977308e-21	1.02578528615055e-06	0.00218805190412008	0.0545201216807399	0.00488745034969237	0.0349405569447202	0.0146207104022785	3.62603971114669e-18	0.456836825046836	-8.17250937720036e-18	0.000777397991460335	0.000945117833164024	0.144416117831339	0.0545185427269067	6.15731334991962e-18	0.000761976041572751	0.200938609438652	0.0293214880868692	4.74254684965835e-18	-2.55180303246055e-18	-3.80555597835297e-19	4.92506954364363e-19
SJNBL030339_D1	1.52522635717351e-19	-5.41010745660777e-20	-1.15542754498748e-19	-1.58150162714276e-21	6.7956677820725e-05	0.00410492740494686	0.107631610736736	0.0113972462739311	0.0181341894874715	0.00518511878174367	4.88743680174708e-17	0.567113098432294	1.99100010711348e-17	0.00103400806919196	0.000582316244327151	0.113795976769246	-8.80659498710134e-19	-1.00230023518433e-17	0.000498498762282672	0.170455052360009	4.43822054187092e-18	6.36110146350674e-18	-7.24648637084018e-18	-6.23628484719327e-18	4.36246513638548e-18
SJNBL030342_D1	0.00249406438742523	-2.28549909864347e-19	0.00355996979729395	8.10573687069243e-21	0.008200333930473	0.0415912901893413	0.124579170981684	0.0564168912674167	0.530399075970925	0.0289327494123604	-1.23274375890657e-17	0.142024237863295	4.95021160391333e-17	4.44483195166062e-05	0.000633333402378403	-5.06624174612156e-18	-3.38532634057742e-19	-6.06170072809036e-19	0.000504190370624753	0.0606202441072655	-3.29572541089494e-18	-1.90988069759308e-18	4.36782274693143e-19	2.57833710385128e-20	-3.04634810310886e-18
SJNBL030513_D2	-4.20087245820722e-19	2.30176736962404e-19	9.52277355042734e-20	0	0.00349919143657417	0.00691845466138744	0.127959280824117	0.096650330464769	0.141066877423188	0.0218707496498015	5.18041782619507e-20	0.410857533562437	-2.46546814603638e-17	0.000245530727986649	0.000895995134157359	0.0165497692770055	8.72819046943442e-19	1.82342781650135e-18	0.000475315808438526	0.173010971030138	-1.97304120925505e-17	3.10041559450768e-18	2.05886287938696e-18	-4.66741266931104e-18	-3.61933607582452e-18
SJNBL030555_D1	-2.9086422766195e-19	-6.55448407300418e-20	0.00355590807429473	-2.7288511432339e-21	-1.98267986510846e-19	2.96217076062447e-19	0.112415552286187	0.0492590394295144	0.0378619847447958	0.00874651035542505	9.6612457335205e-18	0.549575086030955	-1.61828245644526e-17	-2.30177123814811e-19	0.000739463008130273	0.000105946381020843	0.0395836480630039	8.18209356872668e-18	0.124461292341661	0.0727648168219245	0.000930752463087173	8.90956369265686e-19	1.33732318479365e-17	-1.17375923667928e-18	-4.50360766997346e-18
SJNBL030641_D1	9.05020174277349e-07	-5.19320108905966e-20	0.00956600954590813	0.00185179442860633	-7.49944106565555e-20	0.00723119069763721	0.0947592555928466	0.090733609045411	0.0555863544438751	0.0149754768728525	1.86196088963903e-17	0.489167284092687	1.23094803130326e-17	0.0190020625808034	0.000610862749248228	0.000136806159023975	0.139987577249908	8.70880749889367e-18	0.0406445937077842	0.0357208950461296	2.53227671044147e-05	-1.31426005636401e-18	8.35747376070441e-19	1.47636277122937e-18	2.49687038061293e-18
SJNBL030721_D1	0.10663281987137	0.0193784621471529	0.155076715407188	0.00760236929967721	0.00496736334511747	0.0646971721212887	0.0948892843811705	-1.95307734448861e-19	0.0197915622124646	0.0415283228137091	8.34054154611427e-18	0.44280466206456	-1.28021579197039e-17	0.00104726586096809	0.000433103304932848	-1.28559076032325e-19	0.000542017405822445	1.06243258807257e-17	0.0406088797645788	3.48920775940998e-18	-1.85341471612994e-18	-1.10419697400728e-17	4.01331566858389e-18	1.82203930611331e-18	-5.81195095561913e-18
SJNBL030749_D1	0.0052279180674831	-3.61964528363432e-19	0.00374621879172054	2.72012885277601e-06	0.00287493613912613	0.0131974966803638	0.131670391341706	0.114334251376306	0.413549999125198	0.0296458054582536	-4.3450494832542e-18	0.253552590618954	1.40351594831551e-17	7.36445644825833e-06	0.00101660098015859	3.66854262709074e-18	4.35112328464082e-19	-3.06235961372533e-18	0.000536054470327214	0.0306376523651021	2.92708002469394e-18	1.12980811358052e-17	1.84082445896962e-18	-3.18710918848825e-18	6.11551793669307e-18
SJNBL030749_D2	5.137904683084e-19	-1.63567478313264e-19	0.00180154029385835	0.000147061875677289	7.05014295973706e-20	-8.98842861503974e-20	0.0456560061205574	-4.05452447891127e-19	0.00544957716434459	0.00349668708815337	2.65199301928206e-19	0.689109937395566	5.4640493173061e-18	0.025143221445419	0.00128800769434544	0.00031025301985765	0.122768718277945	-6.66397926841439e-19	0.064032840191652	0.0407961494326243	3.14055467298932e-18	5.39540653177843e-18	-2.89477562400775e-18	6.57860011222855e-18	4.56859597694387e-19
SJNBL030758_D1	-1.04950803064233e-18	4.60110933279736e-19	1.18140704283487e-19	6.65107252950934e-05	0.00502530321028781	0.0232457158765212	0.0637511998141145	0.0580759116354716	0.178074755371615	0.0352981460247027	5.93648311323687e-18	0.360484927098521	1.16076723682553e-17	0.000859193388809849	0.00105037218260448	0.00598038643736251	-2.29303487856876e-19	-6.82405247174218e-18	0.000974665018343079	0.267112913216351	2.7162602545098e-19	2.0136468554984e-18	1.07985257916859e-17	-6.59968098637499e-19	-1.94247558364947e-18
SJNBL030793_D1	1.36755786515674e-19	7.044061771388e-20	-1.20593656578196e-19	-3.2520420861284e-22	1.31023310991521e-19	4.62235087305174e-19	0.0729864308124111	3.46705395457272e-19	0.0444474466837963	0.0100020249550383	8.08940966247949e-18	0.590168297695721	-1.12409912731979e-17	0.0284487239796613	0.00092770262867041	0.030092888098331	0.000170344213977774	-2.75173698302213e-18	0.000525927406091693	0.216592372799742	0.005637840726559	-2.41209918809375e-18	1.78128908834286e-18	4.0173382604943e-18	-4.01512077177771e-18
SJNBL030793_D2	0.000444276458985127	0.000415368010964005	-1.74548855171901e-20	6.15999011762109e-22	0.00129168029082859	0.0049478800019915	0.0849045158664191	0.0916670965141871	0.0849785131837999	0.0250057093214539	-8.09620035095975e-18	0.482499835723519	9.08934410573404e-18	9.99967554620928e-05	0.000624105946325445	0.0208281042303893	2.81384945855999e-19	-6.47469974801549e-18	0.000363558617711128	0.201929359077964	-1.16460574625207e-18	-9.71297159002027e-18	7.99871760983089e-19	-3.63400345511938e-18	-4.26698172034163e-19
SJNBL030810_D1	0.0325626764806731	-2.40227571996538e-20	0.00805845426443336	4.36746709427695e-20	0.0025933938625457	0.00224394894239281	0.0251792531667396	-1.27541919168211e-19	0.00433357642302286	0.00727850670022354	1.24526437065639e-17	0.546890132537854	3.30767726563928e-18	0.0620310532504378	0.000680577480704635	-1.70728672364516e-18	0.177578928092841	9.98600964933283e-18	0.0470105068986848	0.0506051371922079	0.0329538547072388	-5.23969612065991e-18	3.10828432636826e-18	-2.58683346405184e-18	1.71949417300232e-18
SJNBL030810_D2	2.52414500610831e-19	-2.88996497024134e-19	-2.41191638578088e-19	-3.02251951911785e-25	0.000540838414991841	0.00413758713421721	0.0796082985586202	0.107383319448207	0.211747953367283	0.00948536908062844	3.98695773252627e-19	0.418650916887182	-1.07478082026414e-17	0.0004414264716493	0.000854440141181865	0.00049449123391591	0.0333129084309574	2.38393096286378e-18	0.000508991095075151	0.132486749679309	0.00034671005678108	8.9495887069792e-19	-3.5919244630843e-18	-3.69403977401508e-19	1.93542112716973e-18
SJNBL030820_D1	9.59168134150535e-20	1.29517238637773e-19	2.8094359600554e-20	-1.07372777324324e-20	-5.35314648751436e-21	-7.39497474057533e-20	0.100424470438208	0.10109632719166	0.0565747630022226	0.0208213714813042	2.15937979540376e-18	0.565959712353127	-3.61976714409507e-18	0.04616552299062	0.00972321128678251	4.88219001751409e-19	0.0266675773326404	-1.69751550573999e-18	0.0711888607886366	-1.35037698829762e-20	9.18304868717848e-19	0.00137818313479931	-1.21373521234305e-18	2.24572883564486e-19	-3.81565199373146e-18
SJNBL030842_D1	3.34753113441843e-19	2.09335804321394e-20	8.34359601144197e-09	0.000155456077356421	0.0017223598407651	0.000141362269935513	0.157377887580368	0.668248398541231	0.126994195679999	0.00936014014271924	6.93996265255188e-18	0.035395687648815	5.77725548408519e-18	0.000214063341863372	0.000132970976386483	1.55254790973296e-18	5.4804746461674e-19	7.25823837552495e-18	0.000212890018897813	4.4579538066712e-05	-3.75645729046875e-18	4.25765460322152e-18	3.35039500076435e-18	2.98600899271831e-19	4.63515388363635e-18
